排名,代號,名稱,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
146,5269,祥碩,704,21,3.07,10,6.94,6.94,488,18.7,10,有,,有,,,,半導體業,沈振來,林哲偉
147,2637,慧洋-KY,64.8,2,3.18,10,74.6,74.64,484,14.2,12.1,,,有,有,,,航運業,藍俊昇,鄭俊聲
148,3044,健鼎,91.8,-1.7,-1.82,10,52.6,52.56,483,31,22,有,,,,,,電子零組件業,王景春,黃樂仁
149,3189,景碩,106.5,-3,-2.74,10,45.3,45.28,482,22.3,18.1,有,,有,,,,半導體業,廖賜政,陳河旭
150,2882A,國泰特,56.8,-0.1,-0.18,,,83.33,473,,5.93,,,,,,,金控業,,
151,00881,國泰台灣5G+,13.69,0.01,0.07,,,340.3,466,2.1,2.03,,,,,,,N/A,張錫,張雍川
152,2498,宏達電,55.8,1.4,2.57,10,82.8,82.5,460,25.6,20.7,有,有,有,,,,通信網路業,王雪紅,王雪紅
153,00679B,元大美債20年,31.89,-0.05,-0.16,,,143.8,458,5.9,5.93,,,,,,,N/A,劉宗聖,謝忠賢
154,5904,寶雅,447.5,-4.5,-1,10,10.2,10.22,457,25.8,20.3,,,有,,,,貿易百貨業,陳建造,陳宗成
155,5522,遠雄,57.7,-0.1,-0.17,10,78.2,78.16,451,44.4,23,,,,有,,,建材營造業,趙文嘉,湯佳峰
156,2845,遠東銀,11.05,-0.05,-0.45,10,407,407,450,30.9,24.1,,,,,,,銀行業,侯金英,周添財
157,2449,京元電子,36.5,-0.15,-0.41,10,122,122.3,446,35.6,21.6,有,,有,,,,半導體業,李金恭,劉安炫
158,2368,金像電,90.2,-1.6,-1.74,10,49.2,49.18,444,41.3,24.8,,,有,,,,電子零組件業,楊承澤,楊承澤
159,5903,全家,198,-3,-1.49,10,22.3,22.32,442,34.3,20.8,,,,,,,貿易百貨業,葉榮廷,薛東都
160,1434,福懋,26.2,-0.15,-0.57,10,168,168.5,441,49.7,37,,,,,,,紡織纖維,王文淵,李敏章
161,9917,中保科,97.4,0.8,0.83,10,45.1,45.12,439,45.1,29,,,,,,,其他業,林孝信,小野寺博史
162,6147,頎邦,57.7,-0.3,-0.52,10,73.9,73.87,426,25.5,20.9,有,,有,,,,半導體業,吳非艱,高火文
163,2606,裕民,49.45,1.25,2.59,10,84.5,84.51,418,54.3,32,有,,有,有,,,航運業,徐旭東,王書吉
164,3406,玉晶光,366,-1,-0.27,10,11.3,11.27,412,32.9,17,有,,有,,,,光電業,陳天慶,郭英理
165,006208,富邦台50,62.65,0.15,0.24,,,64.75,406,10.5,10.4,,,,,,,N/A,史綱,李明州
166,00723B,群益15年IG科技債,33.37,-0.19,-0.57,,,120.7,403,5,5.02,,,,,,,N/A,賴政昇,陳明輝
167,1907,永豐餘,24.15,-0.2,-0.82,10,166,166,401,72.8,45.8,有,,,,,,造紙工業,劉慧瑾,駱秉正
168,8415,大國鋼,38.45,1.05,2.81,10,103,103.2,397,15.4,6.29,,,,,,,鋼鐵工業,謝麗雲,謝榮坤
169,1210,大成,44.1,-0.3,-0.68,10,89.5,89.48,395,62,44.6,有,,,,,,食品工業,韓家宇,韓芳豪
170,3035,智原,157.5,1.5,0.96,10,24.9,24.86,391,29.5,23.2,有,,有,,,,半導體業,洪嘉聰,王國雍
171,2014,中鴻,27.1,2.4,9.72,10,144,143.6,389,39.2,30.8,有,,有,,,,鋼鐵工業,曾貴松,朱敏
172,2889,國票金,11.25,0,0,10,315,344.7,388,20.7,20.7,,,,,,,金控業,魏啟林,蘇松輝
173,3017,奇鋐,109,-2.5,-2.24,10,35.3,35.33,385,31,20.2,有,,有,有,,,電腦及週邊設備業,沈慶行,沈慶行
174,3665,貿聯-KY,250,3,1.21,10,15.6,15.28,382,22.6,11.7,,,有,有,,,其他電子業,梁華哲,鄧劍華
175,2882B,國泰金乙特,54.5,0,0,,,70,382,,4.37,,,,,,,金控業,,
176,2881B,富邦金乙特,57,0,0,,,66.67,380,,4.66,,,,,,,金控業,,
177,2809,京城銀,34.15,0.05,0.15,10,111,111.1,379,71.4,39.4,,,,,,,銀行業,戴誠志,姜宏亮
178,2923,鼎固-KY,21.8,0.15,0.69,10,174,174,379,15,10,,,,,,,建材營造業,張洪本,張能耀
179,00726B,國泰5Y+新興債,33.53,-0.17,-0.5,,,112.6,377,4.9,4.87,,,,,,,N/A,張錫,張雍川
180,2492,華新科,77.5,-0.5,-0.64,10,48.6,48.58,376,52.4,25.1,有,,,有,,,電子零組件業,焦佑衡,顧立荊
181,2006,東和鋼鐵,51,1.2,2.41,10,73,73.02,372,60.6,34.4,有,,有,有,,,鋼鐵工業,侯傑騰,黃炳樺
182,2015,豐興,64,1.9,3.06,10,58.2,58.16,372,54,30.6,,,,,,,鋼鐵工業,林大鈞,林永源
183,2059,川湖,388.5,2.5,0.65,10,9.53,9.53,370,36.2,17.7,有,,有,,,,電子零組件業,林聰吉,林淑珍
184,1717,長興,31.3,0.2,0.64,10,118,117.8,369,58.1,28.7,有,,,有,,,化學工業,高國倫,毛惠寬
185,6589,台康生技,121,0,0,10,30.4,30.41,368,10,3.48,,,有,,有,,生技醫療業,劉理成,劉理成
186,1314,中石化,9.72,-0.01,-0.1,10,378,378.5,368,53.5,31.4,有,,,,,,塑膠工業,陳瑞隆,余建松
187,00722B,群益15年IG電信債,37.18,-0.42,-1.12,,,98.52,366,5,5.02,,,,,,,N/A,賴政昇,陳明輝
188,2881A,富邦特,60.7,0,0,,,60,364,,6.56,,,,,,,金控業,,
189,00778B,凱基金融債20+,34.44,-0.36,-1.03,,,105.4,363,3.9,3.85,,,,,,,N/A,丁紹曾,張慈恩
190,3706,神達,29.75,0.15,0.51,10,121,120.7,359,9.3,9.28,有,,,,,,電腦及週邊設備業,苗豐強,何繼武
191,1227,佳格,39.15,0.3,0.77,10,91.5,91.51,358,36.5,28.7,,,,,,,食品工業,曹德風,曹博睿
192,00720B,元大投資級公司債,35.63,-0.08,-0.22,,,99.96,356,4.9,4.89,,,,,,,N/A,劉宗聖,謝忠賢
193,3714,富采,47,0.25,0.53,10,75.5,75.48,355,2,1.96,有,有,有,,有,,光電業,李秉傑,李秉傑
194,2404,漢唐,185,1,0.54,10,19.1,19.06,353,40.3,24.8,有,,有,有,,,其他電子業,李惠文,新任者俟最近期董事會召開後再另行公告
195,00777B,凱基AAA至A公司債,34.66,-0.41,-1.17,,,100.1,347,3.9,3.85,,,,,,,N/A,丁紹曾,張慈恩
196,2388,威盛,69.6,-0.2,-0.29,10,49.7,49.63,345,30.3,23.8,有,,有,,,,半導體業,陳文琦,陳文琦
197,00740B,富邦全球投等債,38.73,-0.46,-1.17,,,88.75,344,4.6,4.54,,,,,,,N/A,史綱,李明州
198,00756B,群益15年EM主權債,32.58,-0.03,-0.09,,,104.7,341,4.2,4.17,,,,,,,N/A,賴政昇,陳明輝
199,2023,燁輝,16.8,0.8,5,10,199,198.5,333,44.7,27.4,,,,,,,鋼鐵工業,林義守,張振武
200,3576,聯合再生,20.3,0,0,10,163,162.8,330,17.3,13.9,,,有,,有,,光電業,洪傳獻,潘文輝(執行長)
201,6285,啟碁,82.5,0.9,1.1,10,39.6,39.58,327,26,19.2,有,,有,有,,,通信網路業,謝宏波,高健榮
202,9933,中鼎,41.5,0.15,0.36,10,79,78.56,326,43.7,29.6,,,,有,,,其他業,楊宗興,陳裕仁
203,6269,台郡,100,0.6,0.6,10,32.3,32.28,323,25,19.2,有,,,有,,,電子零組件業,鄭明智,鄭明智
204,2707,晶華,253,2.5,1,10,12.7,12.74,322,46.5,24.8,,,有,有,,,觀光事業,潘思亮,吳偉正
205,4128,中天,62.1,1.1,1.8,10,51.1,51.11,317,22.6,16.5,,,有,,,,生技醫療業,郭憲壽,郭憲壽
206,6116,彩晶,10.75,-0.05,-0.46,10,294,294,316,24.5,21.3,有,,,,,,光電業,焦佑麒,焦佑麒
207,6456,GIS-KY,93.4,0.1,0.11,10,33.8,33.79,316,12,7.53,,,有,,,,光電業,周賢穎,周賢穎
208,00792B,群益A級公司債,33.32,-0.2,-0.6,,,94.41,315,3.7,3.72,,,,,,,N/A,賴政昇,陳明輝
209,6271,同欣電,195,-6,-2.99,10,16.1,16.08,314,48.4,15.1,有,,有,,,,半導體業,陳泰銘,張嘉帥
210,2634,漢翔,33.25,-0.05,-0.15,10,94.2,94.19,313,26.5,8.33,,,有,有,,,航運業,胡開宏,馬萬鈞
211,1513,中興電,65.5,1.5,2.34,10,47.6,47.61,312,66.6,28.8,,,有,有,,,電機機械,江義福,郭慧娟
212,1503,士電,59.2,-0.1,-0.17,10,52.1,52.1,308,67.1,53,,,,,,,電機機械,許育瑞,謝漢章
213,6472,保瑞,405,17,4.38,10,7.54,7.54,305,15.5,5.68,,,,,,,生技醫療業,盛保熙,盛保熙
214,2903,遠百,21.5,0.3,1.42,10,142,141.7,305,55.3,44.2,,,,,,,貿易百貨業,徐旭東,徐雪芳
215,2607,榮運,28.3,0.45,1.62,10,107,106.7,302,49.2,32,,,,,,,航運業,陳義忠,林晁榮
216,5434,崇越,166,2.5,1.53,10,18.2,18.17,302,32.8,22.6,,,,,,,電子通路業,潘重良,曾海華及李正榮
217,1904,正隆,27.15,-0.2,-0.73,10,111,110.8,301,63.9,51.3,有,,,,,,造紙工業,鄭人銘,張清標
218,1808,潤隆,65.8,2.7,4.28,10,45.1,45.1,297,45.9,28.2,,,,有,,,建材營造業,蔡聰賓,邱秉澤
219,00749B,凱基新興債10+,31.49,-0.13,-0.41,,,93.25,294,4.3,4.25,,,,,,,N/A,丁紹曾,張慈恩
220,2504,國產,24.75,0.15,0.61,10,118,118,292,68.1,44.8,,,,,,,建材營造業,徐蘭英,徐蘭英
221,6491,晶碩,417,17,4.25,10,7,7,292,13.3,3.21,,,有,,,,生技醫療業,郭明棟,楊德勝
222,3707,漢磊,87.6,-0.9,-1.02,10,33.3,33.32,292,8.2,8.22,,,有,有,,,半導體業,徐建華,劉燦文
223,9802,鈺齊-KY,156.5,5,3.3,10,19,18.62,291,13.1,10.2,,,,有,,,其他業,林文智,廖芳祝
224,1409,新纖,17.9,-0.05,-0.28,10,162,161.8,290,55.7,49.3,,,,有,,,紡織纖維,吳東昇,歐金達
225,6548,長科*,29.85,0.25,0.84,0.4,3.87,96.64,288,13,6.27,,,,,,,半導體業,黃嘉能,洪全成
226,1773,勝一,114.5,1,0.88,10,25,25,286,43.9,13.8,,,,,,,化學工業,孫靜源,孫靜源
227,2849,安泰銀,14.6,0,0,10,196,195.8,286,30.6,23.2,,,,,有,,銀行業,丁予康,張振芳
228,6412,群電,71.9,1.3,1.84,10,39.5,39.54,284,14,9.12,,,,,,,電子零組件業,呂進宗,曾國華
229,2451,創見,65.8,0,0,10,42.9,42.91,282,33.3,21.6,,,,,,,半導體業,束崇萬,洪完勳
230,2101,南港,33.8,-0.05,-0.15,10,83.4,83.39,282,63.8,59.1,,,,有,,,橡膠工業,郭林諒,林君穎
231,1440,南紡,16.95,0.2,1.19,10,166,165.7,281,67.8,33.2,有,,,,,,紡織纖維,侯博明,王立範
232,00900,富邦特選高股息30,10.51,0.03,0.29,,,266,280,1,1,,,,,,,N/A,史綱,李明州
233,6531,愛普*,172,0,0,5,8.07,16.19,279,11.4,6.56,,,有,,,,半導體業,陳文良,洪志勳
234,6670,復盛應用,209.5,-6,-2.78,10,13.1,13.1,275,12.3,4.01,,,,,,,其他業,李亮箴,江慶生
235,2106,建大,30.15,0.2,0.67,10,90.9,90.94,274,60.7,32,,,,,,,橡膠工業,楊啟仁,陳昭榮
236,2204,中華,49.3,-0.15,-0.3,10,55.4,55.36,273,53.5,31.8,,,有,,,,汽車工業,嚴陳莉蓮,陳昭文
237,3374,精材,100.5,0,0,10,27.1,27.14,273,24.3,7.73,有,,有,,,,半導體業,陳家湘,陳家湘
238,00882,中信中國高股息,11.73,0.02,0.17,,,231.6,272,1.9,1.88,,,,,,,N/A,陳國世,張浴澤
239,4123,晟德,45.45,-0.7,-1.52,10,59.5,59.48,270,63.1,19.2,有,,有,,有,,生技醫療業,王素琦,許瑞寶
240,6278,台表科,92.1,0.3,0.33,10,29.2,29.24,269,32.7,18.8,有,,,,,,光電業,伍開雲,伍開雲
241,9907,統一實,17,0,0,10,158,157.9,268,53.7,31.9,,,,,,,其他業,羅智先,徐金成；張祐信
242,2206,三陽工業,33.55,0.1,0.3,10,79.8,79.76,268,61.3,26.4,,,有,,,,汽車工業,吳清源,吳清源
243,2441,超豐,46.6,-0.35,-0.75,10,56.9,56.88,265,39.8,22.2,有,,,,,,半導體業,謝永達,甯鑑超
244,6533,晶心科,515,4,0.78,10,5.07,5.07,261,17.8,5.77,,,有,,,,半導體業,林志明,蘇泓萌
245,3005,神基,43.3,0,0,10,60.2,60.01,260,33.2,20.8,,,,,,,電腦及週邊設備業,黃明漢,黃明漢
246,2458,義隆,85.3,-0.6,-0.7,10,30.4,30.39,259,28.6,21.3,有,,有,,,,半導體業,葉儀皓,葉儀皓
247,8478,東哥遊艇,290,-11.5,-3.81,10,8.89,8.89,258,44.9,5.03,,,有,,,,其他業,闕慶承,曾雄威
248,6213,聯茂,71,-1.2,-1.66,10,36.3,36.3,258,25.7,20,有,,有,有,,,電子零組件業,陳進財,蔡馨(日彗)
249,3682,亞太電,5.96,0.05,0.85,10,432,431.7,257,22.6,9.38,,,,,有,,通信網路業,陳鵬,陳鵬
250,4915,致伸,55.9,0.7,1.27,10,45.8,45.83,256,16.8,10.2,,,有,,,,電子零組件業,梁立省,梁立省
251,00893,國泰智能電動車,11.24,-0.04,-0.35,,,225.9,254,1.5,1.48,,,,,,,N/A,張錫,張雍川
252,00785B,富邦金融投等債,33.99,-0.37,-1.08,,,74.65,254,3.8,3.74,,,,,,,N/A,史綱,李明州
253,6469,大樹,284.5,-1.5,-0.52,10,8.91,8.91,254,21.6,6.73,,,有,有,,,生技醫療業,鄭明龍,鄭明龍
254,2887E,台新戊特,50.7,0,0,,,50,254,,5.86,,,,,,,金控業,,
255,3042,晶技,81.8,-1.2,-1.45,10,31,30.98,253,39,21.8,有,,,,,,電子零組件業,林萬興,郭雅屏
256,2723,美食-KY,139,2.5,1.83,10,18,18,250,14.2,12.1,,,有,,,,觀光事業,吳政學,吳政學
257,1723,中碳,105.5,0.5,0.48,10,23.7,23.69,250,33.9,24.1,,,,,,,化學工業,杜清芳,方明達
258,1304,台聚,20.95,0.25,1.21,10,119,118.9,249,57.6,50.6,,,,,,,塑膠工業,吳亦圭,吳培基
259,3264,欣銓,49.9,1.7,3.53,10,49,49.02,245,23.2,18,有,,有,有,,,半導體業,盧志遠,張季明
260,2548,華固,88.3,0.3,0.34,10,27.7,27.68,244,33.7,22.4,有,,,有,,,建材營造業,鍾榮昌,洪嘉昇
261,1319,東陽,41.1,-0.7,-1.67,10,59.1,59.15,243,55.1,28,有,,有,,,,汽車工業,吳永豐,吳永祥
262,9939,宏全,84,-0.1,-0.12,10,28.8,28.78,242,53.4,21.8,有,,有,有,,,其他業,戴宏全,曹世忠
263,6005,群益證,11.05,-0.1,-0.9,10,217,217.1,240,34.5,27.3,,,,,,,證券業,王濬智,李文柱
264,1707,葡萄王,161.5,5.5,3.53,10,14.8,14.81,239,51.7,40,有,,,,有,,生技醫療業,曾盛麟,曾盛麟
265,4770,上品,301.5,15.5,5.42,10,7.9,7.85,237,41.2,1,,,,,,,化學工業,侯嘉生,侯嘉生
266,2539,櫻花建,31.95,0.05,0.16,10,73.5,73.46,235,35.6,25.4,,,,有,,,建材營造業,陳正釭,陳世英
267,8150,南茂,32.2,-0.25,-0.77,10,72.7,72.72,234,25.4,8.7,有,,有,,,,半導體業,鄭世杰,鄭世杰
268,6547,高端疫苗,71.2,-0.8,-1.11,10,32.8,32.78,233,10.2,4.68,有,,有,,,,生技醫療業,張世忠,陳燦堅
269,2481,強茂,60.6,-0.6,-0.98,10,38.3,38.28,232,36.6,21.3,有,,,,,,半導體業,方敏清,方敏清
270,2855,統一證,15.85,0.2,1.28,10,146,145.6,231,34,23.8,,,,,,,證券業,林寬成,蔡森部
271,2867,三商壽,5.62,0,0,10,410,410,230,29.5,10,,,有,有,,,保險業,翁肇喜,陳宏昇
272,3703,欣陸,27.85,0.1,0.36,10,82.3,82.32,229,12.7,12.7,,,,,,,建材營造業,殷琪,張方欣
273,6196,帆宣,117.5,1.5,1.29,10,19.5,19.5,229,34,20.2,,,有,有,,,其他電子業,高新明,林育業
274,2897,王道銀行,8.32,-0.04,-0.48,10,303,273.4,227,23.4,5.63,,,,有,,有,銀行業,駱怡君,李芳遠
275,1736,喬山,74.9,-0.8,-1.06,10,30.4,30.36,227,47.2,20,,,,,,,生技醫療業,羅崑泉,羅光廷
276,1215,卜蜂,77,-0.5,-0.65,10,29.5,29.48,227,45.3,35.4,,,,,,,食品工業,鄭武樾,許瑞通
277,3218,大學光,283,8,2.91,10,7.99,7.99,226,28.4,18.1,,,有,有,,,生技醫療業,歐淑芳,盧政宏
278,1232,大統益,141,-2,-1.4,10,16,16,226,40.6,26.9,,,,,,,食品工業,羅智先,陳昭良
279,6182,合晶,41.65,-0.2,-0.48,10,54.1,54.09,225,25.4,20.6,有,,有,有,,,半導體業,焦平海,張憲元
280,3592,瑞鼎,297,1.5,0.51,10,7.59,7.59,225,19.2,0.96,,,有,,,,半導體業,黃裕國,黃裕國
281,6146,耕興,231.5,11,4.99,10,9.7,9.7,225,25.6,20.9,,,,有,,,其他電子業,黃文亮,黃文亮
282,2597,潤弘,121,0.5,0.41,10,18.5,18.5,224,47.1,12.7,,,,,,,建材營造業,李志宏,莫惟瀚
283,00764B,群益25年美債,33.07,-0.17,-0.51,,,67.4,223,4,3.99,,,,,,,N/A,賴政昇,陳明輝
284,2103,台橡,26.95,0.05,0.19,10,82.6,82.57,223,49.1,40.2,,,,,,,橡膠工業,殷琪,蔡偉強
285,2338,光罩,85.7,-0.1,-0.12,10,25.6,25.57,219,34.2,27.7,有,,有,有,,,半導體業,陳正翔,陳立惇
286,2211,長榮鋼,52.4,1.4,2.75,10,41.7,41.71,219,49.9,1.69,,,,,,,鋼鐵工業,林耿立,劉邦恩
287,6257,矽格,48.2,-0.05,-0.1,10,45.7,45.27,218,34,19.3,有,,,有,,,半導體業,黃興陽,葉燦鍊
288,00637L,元大滬深300正2,15.01,0.2,1.35,,,144.1,216,7.6,7.6,,,有,,,,N/A,劉宗聖,謝忠賢
289,3596,智易,98,0.1,0.1,10,22,22.04,216,19.6,13.8,,,,有,,,通信網路業,陳瑞聰,曾釗鵬
290,4961,天鈺,114,-1,-0.87,10,18.7,18.65,213,27.5,4.18,,,有,,,,半導體業,林永杰,邱淑慧
291,3680,家登,250.5,3.5,1.42,10,8.41,8.42,211,24.8,11.3,,,有,,,,半導體業,邱銘乾,林添瑞
292,8070,長華*,30.45,0.25,0.83,1,6.89,68.94,210,33.6,19.1,,,,,,,電子通路業,黃嘉能,黃俊勳
293,6414,樺漢,197,-1.5,-0.76,10,10.6,10.6,209,23.4,8.74,有,,有,,有,,電腦及週邊設備業,朱復銓,蔡能吉
294,00885,富邦越南,11.19,0.1,0.9,,,186.3,208,1.7,1.68,,,有,,,,N/A,史綱,李明州
295,5534,長虹,71.5,-0.3,-0.42,10,29,29.03,208,47,20.7,有,,,有,,,建材營造業,李文造,李耀中
296,8016,矽創,172.5,0,0,10,12,12.01,207,30.5,19,,,,,,,半導體業,毛穎文,王崴
297,4105,東洋,82.5,0.8,0.98,10,24.9,24.86,205,62.4,21.2,,,,,,,生技醫療業,林全,侯靜蘭
298,5371,中光電,52.4,-0.2,-0.38,10,39.1,39.1,205,30.5,23.9,有,,有,,,,光電業,張威儀,林惠姿 陳士元 吳秀蕙
299,2312,金寶,13.7,0.05,0.37,10,149,149.3,205,49.7,33.1,,,有,,,,其他電子業,許勝雄,陳威昌
300,1789,神隆,25.7,0.05,0.19,10,79.1,79.07,203,25.1,11.2,,,,,,,生技醫療業,羅智先,盧麗安
